replication,alpha,pred_scale_x1,pred_scale_x2,pred_x2_share,pred_regret,pred_bandwidth,dec_scale_x1,dec_scale_x2,dec_x2_share,dec_regret,dec_bandwidth
9,0.9,1.947101843769004,0.5135838185352958,0.20871573578168948,0.16500865177051022,0.35170550159725605,1.2405085400240665,0.8061210122588914,0.3938773440262729,0.1655277916908004,0.33833196964356066
9,0.95,1.947101843769004,0.5135838185352958,0.20871573578168948,0.16712946775205387,0.35170550159725605,0.9921649726377046,1.0078968997882134,0.5039328601198291,0.1461657862823981,0.5860789411533555
9,0.99,1.947101843769004,0.5135838185352958,0.20871573578168948,0.1464480932296638,0.615484627795198,1.1139807447875594,0.8976815844251458,0.44623870089393536,0.09347397420283007,0.8405057279932595
10,0.5,8.05674156977959,0.12411965697782178,0.01517195482693919,0.017918657489025214,0.5560550154231034,18.70473344519512,0.053462403136083206,0.002850082362309881,0.015373897924974234,0.8360103185379798
10,0.7,8.05674156977959,0.12411965697782178,0.01517195482693919,0.08410679143393907,0.5560550154231034,27.754788394526347,0.03602981891936219,0.0012964648483048367,0.08949515203681602,1.0175882328131658
10,0.85,8.05674156977959,0.12411965697782178,0.01517195482693919,0.1397541270791579,0.5560550154231034,8.464578286253573,0.11813937637318497,0.013764798169654363,0.14208795679553698,0.5692095531395364
10,0.9,8.05674156977959,0.12411965697782178,0.01517195482693919,0.1813807345593551,0.9730962769904309,3.5666492415694453,0.2803752015603212,0.07288105539881116,0.12337492594491861,0.3970348245443418
10,0.95,8.05674156977959,0.12411965697782178,0.01517195482693919,0.18018255447487985,1.3901375385577586,2.866226004912132,0.34889084052904484,0.10851575768505863,0.12187103952683154,0.373247807095209
10,0.99,8.05674156977959,0.12411965697782178,0.01517195482693919,0.1320771264488442,2.780275077115517,0.6658716201954131,1.501790990441266,0.6928158390849233,0.10362876637432694,0.33129115673636306
11,0.5,8.218273129297364,0.12168006395833875,0.014590017610259272,0.04034419022980307,0.5586507801223386,13.762838195606667,0.07265943156399361,0.005251667379227643,0.040184888904832294,0.7141957289422255
11,0.7,8.218273129297364,0.12168006395833875,0.014590017610259272,0.10693576673835237,0.5586507801223386,14.393227144180264,0.06947712212020071,0.004803881821886471,0.11072088863815666,0.7301697748363287
11,0.85,8.218273129297364,0.12168006395833875,0.014590017610259272,0.19838953246586588,0.5586507801223386,10.11801454404769,0.09883361954527811,0.00967359189084016,0.20595405130824307,0.6156979945747998
11,0.9,8.218273129297364,0.12168006395833875,0.014590017610259272,0.21621986679665633,0.5586507801223386,4.837304809807055,0.2067266875497736,0.040984416464905596,0.1870676656687154,0.44422303289297854
11,0.95,8.218273129297364,0.12168006395833875,0.014590017610259272,0.22066357635290093,0.5586507801223386,1.2959123628588867,0.7716571186912052,0.3732194374008078,0.16949226233156597,0.33887133758986465
11,0.99,8.218273129297364,0.12168006395833875,0.014590017610259272,0.17895958389406852,5.5865078012233855,1.8127928073185096,0.5516350219191372,0.23330592505206585,0.056875676660326106,1.7418032650763744
12,0.5,9.47240548466808,0.10556980501083783,0.011022142135258824,0.019508058074583223,0.6002044413592671,9.345596525317397,0.10700226542960427,0.011319878035482378,0.01958056475545411,0.5963993431841633
12,0.7,9.47240548466808,0.10556980501083783,0.011022142135258824,0.11430131845943758,0.6002044413592671,12.890670924354692,0.07757548120405999,0.005981956139482959,0.1197934189230756,0.6959903850453741
12,0.85,9.47240548466808,0.10556980501083783,0.011022142135258824,0.2128457213754773,0.6002044413592671,17.956046597369035,0.055691546275365676,0.003091958467929256,0.2725568464839919,2.047085595924182
12,0.9,9.47240548466808,0.10556980501083783,0.011022142135258824,0.22180523232675764,0.6002044413592671,2.453885228816377,0.4075170216833435,0.14241864163354664,0.16081358779540533,0.6339305777166203
